,shop_id,date,item_name,n_sold,price,promotion,category
0,1,2021-01-02,cucumber,367.0,8.5,False,Vegetables
1,1,2021-01-02,bun,947.0,3.61,False,Bakery
2,1,2021-01-02,salad,459.0,9.9,False,Vegetables
3,1,2021-01-02,baguette,1343.0,3.9,False,Bakery
4,1,2021-01-03,cucumber,391.0,8.5,False,Vegetables
5,1,2021-01-03,bun,631.0,3.9,False,Bakery
6,1,2021-01-03,salad,322.0,9.9,False,Vegetables
7,1,2021-01-03,baguette,1102.0,3.9,False,Bakery
8,1,2021-01-04,cucumber,661.0,8.5,False,Vegetables
9,1,2021-01-04,bun,1322.0,3.9,False,Bakery
10,1,2021-01-04,salad,1464.0,7.9,True,Vegetables
11,1,2021-01-04,baguette,1978.0,3.9,False,Bakery
12,1,2021-01-05,cucumber,602.0,8.5,False,Vegetables
13,1,2021-01-05,bun,924.0,3.9,False,Bakery
14,1,2021-01-05,salad,1614.0,7.9,True,Vegetables
15,1,2021-01-05,baguette,1646.0,3.9,False,Bakery
16,1,2021-01-06,cucumber,799.0,8.0,False,Vegetables
17,1,2021-01-06,bun,789.0,3.9,False,Bakery
18,1,2021-01-06,salad,1779.0,7.9,True,Vegetables
19,1,2021-01-06,baguette,1806.0,3.9,False,Bakery
20,1,2021-01-07,cucumber,694.0,8.5,False,Vegetables
21,1,2021-01-07,bun,922.0,3.9,False,Bakery
22,1,2021-01-07,salad,1789.0,7.9,True,Vegetables
23,1,2021-01-07,baguette,1499.0,3.9,False,Bakery
24,1,2021-01-08,cucumber,680.0,8.5,False,Vegetables
25,1,2021-01-08,bun,964.0,3.9,False,Bakery
26,1,2021-01-08,salad,1825.0,7.9,True,Vegetables
27,1,2021-01-08,baguette,2178.0,3.9,False,Bakery
28,1,2021-01-09,cucumber,632.0,7.37,False,Vegetables
29,1,2021-01-09,bun,643.0,3.9,False,Bakery
30,1,2021-01-09,salad,905.0,7.9,True,Vegetables
31,1,2021-01-09,baguette,1016.0,3.9,False,Bakery
32,1,2021-01-10,cucumber,442.0,8.5,False,Vegetables
33,1,2021-01-10,bun,480.0,3.9,False,Bakery
34,1,2021-01-10,salad,819.0,7.9,True,Vegetables
35,1,2021-01-10,baguette,793.0,3.9,False,Bakery
36,1,2021-01-11,cucumber,570.0,8.5,False,Vegetables
37,1,2021-01-11,bun,1262.0,3.9,False,Bakery
38,1,2021-01-11,salad,1834.0,7.9,True,Vegetables
39,1,2021-01-11,baguette,1215.0,3.9,False,Bakery
40,1,2021-01-12,cucumber,598.0,8.5,False,Vegetables
41,1,2021-01-12,bun,1069.0,3.9,False,Bakery
42,1,2021-01-12,salad,1543.0,7.9,True,Vegetables
43,1,2021-01-12,baguette,1777.0,3.9,False,Bakery
44,1,2021-01-13,cucumber,1051.0,8.5,False,Vegetables
45,1,2021-01-13,bun,7756.0,2.9,True,Bakery
46,1,2021-01-13,salad,537.0,9.9,False,Vegetables
47,1,2021-01-13,baguette,2449.0,3.9,False,Bakery
48,1,2021-01-14,cucumber,835.0,8.5,False,Vegetables
49,1,2021-01-14,bun,7088.0,2.9,True,Bakery
50,1,2021-01-14,salad,369.0,9.9,False,Vegetables
51,1,2021-01-14,baguette,2074.0,3.9,False,Bakery
52,1,2021-01-15,cucumber,1266.0,8.5,False,Vegetables
53,1,2021-01-15,bun,5442.0,2.9,True,Bakery
54,1,2021-01-15,salad,855.0,9.9,False,Vegetables
55,1,2021-01-15,baguette,2993.0,39.0,False,Bakery
56,1,2021-01-16,cucumber,373.0,8.5,False,Vegetables
57,1,2021-01-16,bun,3863.0,2.9,True,Bakery
58,1,2021-01-16,salad,334.0,9.9,False,Vegetables
59,1,2021-01-16,baguette,1315.0,3.9,False,Bakery
60,1,2021-01-17,cucumber,351.0,8.5,False,Vegetables
61,1,2021-01-17,bun,3933.0,2.9,True,Bakery
62,1,2021-01-17,salad,296.0,9.9,False,Vegetables
63,1,2021-01-17,baguette,1400.0,3.9,False,Bakery
64,1,2021-01-18,cucumber,1171.0,8.5,False,Vegetables
65,1,2021-01-18,bun,6492.0,2.9,True,Bakery
66,1,2021-01-18,salad,439.0,9.9,False,Vegetables
67,1,2021-01-18,baguette,2236.0,3.9,False,Bakery
68,1,2021-01-19,cucumber,823.0,8.5,False,Vegetables
69,1,2021-01-19,bun,6894.0,2.9,True,Bakery
70,1,2021-01-19,salad,334.0,9.9,False,Vegetables
